data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-01-01;2025;1;Janeiro;1;1;Quarta-feira;False;2025-01
2025-01-02;2025;1;Janeiro;1;2;Quinta-feira;False;2025-01
2025-01-03;2025;1;Janeiro;1;3;Sexta-feira;False;2025-01
2025-01-04;2025;1;Janeiro;1;4;Sábado;True;2025-01
2025-01-05;2025;1;Janeiro;1;5;Domingo;True;2025-01
2025-01-06;2025;1;Janeiro;1;6;Segunda-feira;False;2025-01
2025-01-07;2025;1;Janeiro;1;7;Terça-feira;False;2025-01
2025-01-08;2025;1;Janeiro;1;8;Quarta-feira;False;2025-01
2025-01-09;2025;1;Janeiro;1;9;Quinta-feira;False;2025-01
2025-01-10;2025;1;Janeiro;1;10;Sexta-feira;False;2025-01
2025-01-11;2025;1;Janeiro;1;11;Sábado;True;2025-01
2025-01-12;2025;1;Janeiro;1;12;Domingo;True;2025-01
2025-01-13;2025;1;Janeiro;1;13;Segunda-feira;False;2025-01
2025-01-14;2025;1;Janeiro;1;14;Terça-feira;False;2025-01
2025-01-15;2025;1;Janeiro;1;15;Quarta-feira;False;2025-01
2025-01-16;2025;1;Janeiro;1;16;Quinta-feira;False;2025-01
2025-01-17;2025;1;Janeiro;1;17;Sexta-feira;False;2025-01
2025-01-18;2025;1;Janeiro;1;18;Sábado;True;2025-01
2025-01-19;2025;1;Janeiro;1;19;Domingo;True;2025-01
2025-01-20;2025;1;Janeiro;1;20;Segunda-feira;False;2025-01
2025-01-21;2025;1;Janeiro;1;21;Terça-feira;False;2025-01
2025-01-22;2025;1;Janeiro;1;22;Quarta-feira;False;2025-01
2025-01-23;2025;1;Janeiro;1;23;Quinta-feira;False;2025-01
2025-01-24;2025;1;Janeiro;1;24;Sexta-feira;False;2025-01
2025-01-25;2025;1;Janeiro;1;25;Sábado;True;2025-01
2025-01-26;2025;1;Janeiro;1;26;Domingo;True;2025-01
2025-01-27;2025;1;Janeiro;1;27;Segunda-feira;False;2025-01
2025-01-28;2025;1;Janeiro;1;28;Terça-feira;False;2025-01
2025-01-29;2025;1;Janeiro;1;29;Quarta-feira;False;2025-01
2025-01-30;2025;1;Janeiro;1;30;Quinta-feira;False;2025-01
2025-01-31;2025;1;Janeiro;1;31;Sexta-feira;False;2025-01
2025-02-01;2025;2;Fevereiro;1;1;Sábado;True;2025-02
2025-02-02;2025;2;Fevereiro;1;2;Domingo;True;2025-02
2025-02-03;2025;2;Fevereiro;1;3;Segunda-feira;False;2025-02
2025-02-04;2025;2;Fevereiro;1;4;Terça-feira;False;2025-02
2025-02-05;2025;2;Fevereiro;1;5;Quarta-feira;False;2025-02
2025-02-06;2025;2;Fevereiro;1;6;Quinta-feira;False;2025-02
2025-02-07;2025;2;Fevereiro;1;7;Sexta-feira;False;2025-02
2025-02-08;2025;2;Fevereiro;1;8;Sábado;True;2025-02
2025-02-09;2025;2;Fevereiro;1;9;Domingo;True;2025-02
2025-02-10;2025;2;Fevereiro;1;10;Segunda-feira;False;2025-02
2025-02-11;2025;2;Fevereiro;1;11;Terça-feira;False;2025-02
2025-02-12;2025;2;Fevereiro;1;12;Quarta-feira;False;2025-02
2025-02-13;2025;2;Fevereiro;1;13;Quinta-feira;False;2025-02
2025-02-14;2025;2;Fevereiro;1;14;Sexta-feira;False;2025-02
2025-02-15;2025;2;Fevereiro;1;15;Sábado;True;2025-02
2025-02-16;2025;2;Fevereiro;1;16;Domingo;True;2025-02
2025-02-17;2025;2;Fevereiro;1;17;Segunda-feira;False;2025-02
2025-02-18;2025;2;Fevereiro;1;18;Terça-feira;False;2025-02
2025-02-19;2025;2;Fevereiro;1;19;Quarta-feira;False;2025-02
2025-02-20;2025;2;Fevereiro;1;20;Quinta-feira;False;2025-02
2025-02-21;2025;2;Fevereiro;1;21;Sexta-feira;False;2025-02
2025-02-22;2025;2;Fevereiro;1;22;Sábado;True;2025-02
2025-02-23;2025;2;Fevereiro;1;23;Domingo;True;2025-02
2025-02-24;2025;2;Fevereiro;1;24;Segunda-feira;False;2025-02
2025-02-25;2025;2;Fevereiro;1;25;Terça-feira;False;2025-02
2025-02-26;2025;2;Fevereiro;1;26;Quarta-feira;False;2025-02
2025-02-27;2025;2;Fevereiro;1;27;Quinta-feira;False;2025-02
2025-02-28;2025;2;Fevereiro;1;28;Sexta-feira;False;2025-02
2025-03-01;2025;3;Março;1;1;Sábado;True;2025-03
2025-03-02;2025;3;Março;1;2;Domingo;True;2025-03
2025-03-03;2025;3;Março;1;3;Segunda-feira;False;2025-03
2025-03-04;2025;3;Março;1;4;Terça-feira;False;2025-03
2025-03-05;2025;3;Março;1;5;Quarta-feira;False;2025-03
2025-03-06;2025;3;Março;1;6;Quinta-feira;False;2025-03
2025-03-07;2025;3;Março;1;7;Sexta-feira;False;2025-03
2025-03-08;2025;3;Março;1;8;Sábado;True;2025-03
2025-03-09;2025;3;Março;1;9;Domingo;True;2025-03
2025-03-10;2025;3;Março;1;10;Segunda-feira;False;2025-03
2025-03-11;2025;3;Março;1;11;Terça-feira;False;2025-03
2025-03-12;2025;3;Março;1;12;Quarta-feira;False;2025-03
2025-03-13;2025;3;Março;1;13;Quinta-feira;False;2025-03
2025-03-14;2025;3;Março;1;14;Sexta-feira;False;2025-03
2025-03-15;2025;3;Março;1;15;Sábado;True;2025-03
2025-03-16;2025;3;Março;1;16;Domingo;True;2025-03
2025-03-17;2025;3;Março;1;17;Segunda-feira;False;2025-03
2025-03-18;2025;3;Março;1;18;Terça-feira;False;2025-03
2025-03-19;2025;3;Março;1;19;Quarta-feira;False;2025-03
2025-03-20;2025;3;Março;1;20;Quinta-feira;False;2025-03
2025-03-21;2025;3;Março;1;21;Sexta-feira;False;2025-03
2025-03-22;2025;3;Março;1;22;Sábado;True;2025-03
2025-03-23;2025;3;Março;1;23;Domingo;True;2025-03
2025-03-24;2025;3;Março;1;24;Segunda-feira;False;2025-03
2025-03-25;2025;3;Março;1;25;Terça-feira;False;2025-03
2025-03-26;2025;3;Março;1;26;Quarta-feira;False;2025-03
2025-03-27;2025;3;Março;1;27;Quinta-feira;False;2025-03
2025-03-28;2025;3;Março;1;28;Sexta-feira;False;2025-03
2025-03-29;2025;3;Março;1;29;Sábado;True;2025-03
2025-03-30;2025;3;Março;1;30;Domingo;True;2025-03
2025-03-31;2025;3;Março;1;31;Segunda-feira;False;2025-03
2025-04-01;2025;4;Abril;2;1;Terça-feira;False;2025-04
2025-04-02;2025;4;Abril;2;2;Quarta-feira;False;2025-04
2025-04-03;2025;4;Abril;2;3;Quinta-feira;False;2025-04
2025-04-04;2025;4;Abril;2;4;Sexta-feira;False;2025-04
2025-04-05;2025;4;Abril;2;5;Sábado;True;2025-04
2025-04-06;2025;4;Abril;2;6;Domingo;True;2025-04
2025-04-07;2025;4;Abril;2;7;Segunda-feira;False;2025-04
2025-04-08;2025;4;Abril;2;8;Terça-feira;False;2025-04
2025-04-09;2025;4;Abril;2;9;Quarta-feira;False;2025-04
2025-04-10;2025;4;Abril;2;10;Quinta-feira;False;2025-04
2025-04-11;2025;4;Abril;2;11;Sexta-feira;False;2025-04
2025-04-12;2025;4;Abril;2;12;Sábado;True;2025-04
2025-04-13;2025;4;Abril;2;13;Domingo;True;2025-04
2025-04-14;2025;4;Abril;2;14;Segunda-feira;False;2025-04
2025-04-15;2025;4;Abril;2;15;Terça-feira;False;2025-04
2025-04-16;2025;4;Abril;2;16;Quarta-feira;False;2025-04
2025-04-17;2025;4;Abril;2;17;Quinta-feira;False;2025-04
2025-04-18;2025;4;Abril;2;18;Sexta-feira;False;2025-04
2025-04-19;2025;4;Abril;2;19;Sábado;True;2025-04
2025-04-20;2025;4;Abril;2;20;Domingo;True;2025-04
2025-04-21;2025;4;Abril;2;21;Segunda-feira;False;2025-04
2025-04-22;2025;4;Abril;2;22;Terça-feira;False;2025-04
