id_pedido;data_pedido;id_cliente;id_produto;id_localizacao;quantidade;preco_unitario;desconto;custo_unitario;forma_pagamento;canal;faturamento;custo_total;lucro;margem_lucro
100001;2025-01-26;C1127;17;1;1;197,68;0,0;118,61;Cartão de crédito;Marketplace;197,68;118,61;79,07;0,4
100002;2025-01-31;C0384;12;23;1;1609,64;0,0;1094,56;Boleto;Online;1609,64;1094,56;515,08;0,32
100003;2025-10-12;C0027;3;16;2;32,77;0,05;14,75;Cartão de débito;Online;62,26;29,5;32,76;0,5262
100004;2025-04-15;C0380;4;16;1;1217,96;0,0;852,57;Cartão de crédito;Marketplace;1217,96;852,57;365,39;0,3
100005;2026-01-23;C0323;17;15;2;680,58;0,1;408,35;Cartão de débito;Online;1225,04;816,7;408,34;0,3333
100006;2025-08-22;C1186;12;20;5;2239,57;0,15;1522,91;PIX;Marketplace;9518,17;7614,55;1903,62;0,2
100007;2025-06-16;C1517;11;14;1;1472,28;0,1;1001,15;Cartão de crédito;Online;1325,05;1001,15;323,9;0,2444
100008;2025-06-17;C1894;1;13;1;992,67;0,1;635,31;Cartão de débito;Marketplace;893,4;635,31;258,09;0,2889
100009;2025-08-23;C0132;12;12;3;1422,1;0,0;967,03;PIX;Online;4266,3;2901,09;1365,21;0,32
100010;2026-02-10;C1880;8;13;1;110,72;0,1;60,9;PIX;Marketplace;99,65;60,9;38,75;0,3889
100011;2026-01-06;C0899;16;4;5;169,17;0,05;93,04;Cartão de crédito;Online;803,56;465,2;338,36;0,4211
100012;2025-06-13;C1730;13;25;2;241,6;0,05;140,13;PIX;Online;459,04;280,26;178,78;0,3895
100013;2025-10-01;C1394;17;1;1;404,34;0,05;242,6;PIX;Online;384,12;242,6;141,52;0,3684
100014;2025-04-19;C1223;6;15;3;151,53;0,0;75,77;Cartão de débito;Online;454,59;227,31;227,28;0,5
100015;2026-05-16;C0080;4;22;1;1225,96;0,2;858,17;PIX;Online;980,77;858,17;122,6;0,125
100016;2025-09-04;C2324;12;19;4;854,18;0,05;580,84;Cartão de débito;Online;3245,88;2323,36;922,52;0,2842
100017;2025-06-19;C1086;8;13;1;213,45;0,2;117,4;Cartão de débito;Marketplace;170,76;117,4;53,36;0,3125
100018;2026-01-18;C1795;16;19;3;325,74;0,0;179,16;PIX;Online;977,22;537,48;439,74;0,45
100019;2025-08-14;C0030;1;11;1;741,77;0,0;474,73;PIX;Online;741,77;474,73;267,04;0,36
100020;2025-09-01;C1141;6;12;2;92,85;0,0;46,42;Boleto;Online;185,7;92,84;92,86;0,5001
100021;2026-02-21;C0780;8;2;1;224,98;0,05;123,74;Boleto;Online;213,73;123,74;89,99;0,421
100022;2025-03-04;C1650;17;23;2;660,41;0,0;396,25;Cartão de débito;Marketplace;1320,82;792,5;528,32;0,4
100023;2026-03-09;C0752;13;25;1;184,92;0,15;107,25;Cartão de crédito;Online;157,18;107,25;49,93;0,3177
100024;2025-04-06;C0969;14;20;1;4199,74;0,0;3023,81;Cartão de crédito;Online;4199,74;3023,81;1175,93;0,28
100025;2025-01-03;C1600;16;2;1;492,04;0,05;270,62;Boleto;Online;467,44;270,62;196,82;0,4211
100026;2025-10-31;C0892;5;1;4;779,18;0,05;506,47;PIX;Online;2960,88;2025,88;935,0;0,3158
100027;2026-05-04;C2060;12;9;3;1656,03;0,0;1126,1;Cartão de crédito;Online;4968,09;3378,3;1589,79;0,32
100028;2025-03-11;C0964;15;12;1;4766,38;0,05;3717,78;Cartão de crédito;Online;4528,06;3717,78;810,28;0,1789
100029;2026-06-20;C1296;10;5;4;145,36;0,1;75,59;PIX;Marketplace;523,3;302,36;220,94;0,4222
100030;2025-11-04;C1873;13;25;1;395,78;0,0;229,55;Cartão de crédito;Online;395,78;229,55;166,23;0,42
100031;2026-06-03;C1087;5;5;1;549,01;0,0;356,86;PIX;Marketplace;549,01;356,86;192,15;0,35
100032;2026-03-25;C2226;7;3;2;608,76;0,2;377,43;Cartão de crédito;Marketplace;974,02;754,86;219,16;0,225
100033;2025-05-18;C1084;17;16;1;174,93;0,05;104,96;PIX;Online;166,18;104,96;61,22;0,3684
100034;2025-07-28;C1082;4;11;1;1002,24;0,15;701,57;Cartão de crédito;Marketplace;851,9;701,57;150,33;0,1765
100035;2025-02-15;C0015;2;24;1;413,52;0,2;277,06;Boleto;Marketplace;330,82;277,06;53,76;0,1625
100036;2025-04-25;C0309;14;11;4;4918,57;0,0;3541,37;PIX;Online;19674,28;14165,48;5508,8;0,28
100037;2025-05-11;C0172;10;11;1;367,67;0,1;191,19;PIX;Online;330,9;191,19;139,71;0,4222
100038;2025-04-16;C1449;1;7;2;918,89;0,05;588,09;Cartão de débito;Online;1745,89;1176,18;569,71;0,3263
100039;2025-07-01;C1689;7;2;1;702,42;0,0;435,5;Cartão de débito;Marketplace;702,42;435,5;266,92;0,38
100040;2025-04-21;C1567;7;27;3;793,94;0,0;492,24;Boleto;Marketplace;2381,82;1476,72;905,1;0,38
100041;2025-08-22;C0914;9;19;1;212,7;0,0;134,0;PIX;Marketplace;212,7;134,0;78,7;0,37
100042;2026-02-14;C2197;6;16;1;55,52;0,15;27,76;Cartão de débito;Marketplace;47,19;27,76;19,43;0,4117
100043;2025-04-22;C2444;12;7;1;2011,38;0,0;1367,74;Cartão de crédito;Marketplace;2011,38;1367,74;643,64;0,32
100044;2025-09-18;C0182;5;13;2;201,69;0,15;131,1;Cartão de débito;Marketplace;342,87;262,2;80,67;0,2353
100045;2025-03-13;C1353;10;6;2;292,28;0,0;151,99;PIX;Marketplace;584,56;303,98;280,58;0,48
100046;2026-02-17;C1212;4;20;2;883,68;0,1;618,58;Cartão de débito;Marketplace;1590,62;1237,16;353,46;0,2222
100047;2025-01-01;C1245;16;3;1;314,94;0,05;173,22;PIX;Marketplace;299,19;173,22;125,97;0,421
100048;2026-03-29;C0876;3;1;1;83,5;0,2;37,58;Cartão de débito;Online;66,8;37,58;29,22;0,4374
100049;2026-06-12;C1373;9;6;1;576,96;0,0;363,48;Cartão de débito;Online;576,96;363,48;213,48;0,37
100050;2025-01-26;C0190;13;19;1;279,56;0,1;162,14;Boleto;Marketplace;251,6;162,14;89,46;0,3556
100051;2026-01-29;C2025;5;4;1;347,57;0,1;225,92;Cartão de crédito;Marketplace;312,81;225,92;86,89;0,2778
100052;2025-06-30;C2122;1;8;1;690,18;0,15;441,72;Boleto;Online;586,65;441,72;144,93;0,247
100053;2026-06-28;C2290;3;7;2;96,0;0,15;43,2;Boleto;Marketplace;163,2;86,4;76,8;0,4706
100054;2026-05-02;C1844;7;4;1;335,43;0,1;207,97;Boleto;Online;301,89;207,97;93,92;0,3111
100055;2026-03-27;C0318;2;13;2;543,12;0,0;363,89;Cartão de crédito;Online;1086,24;727,78;358,46;0,33
100056;2025-08-25;C1569;13;2;2;376,7;0,0;218,49;PIX;Marketplace;753,4;436,98;316,42;0,42
100057;2025-03-05;C0848;10;21;3;204,63;0,1;106,41;Cartão de crédito;Marketplace;552,5;319,23;233,27;0,4222
100058;2025-01-07;C1441;8;27;1;165,8;0,15;91,19;Boleto;Online;140,93;91,19;49,74;0,3529
100059;2025-08-13;C1118;8;14;1;86,39;0,0;47,51;Boleto;Online;86,39;47,51;38,88;0,4501
100060;2025-05-11;C2188;3;26;1;51,52;0,05;23,18;Cartão de crédito;Marketplace;48,94;23,18;25,76;0,5264
100061;2026-04-18;C0745;13;10;1;239,22;0,0;138,75;PIX;Marketplace;239,22;138,75;100,47;0,42
100062;2026-03-08;C1034;2;11;3;837,88;0,1;561,38;PIX;Online;2262,28;1684,14;578,14;0,2556
100063;2025-02-11;C0128;15;18;4;1797,44;0,0;1402,0;Cartão de débito;Online;7189,76;5608,0;1581,76;0,22
100064;2025-04-28;C2311;8;15;4;182,31;0,0;100,27;Cartão de débito;Online;729,24;401,08;328,16;0,45
100065;2025-11-15;C0443;7;20;2;846,67;0,05;524,94;Boleto;Online;1608,67;1049,88;558,79;0,3474
100066;2025-09-06;C0418;15;22;2;2206,33;0,1;1720,94;Cartão de crédito;Online;3971,39;3441,88;529,51;0,1333
100067;2026-06-30;C1755;11;26;2;510,33;0,1;347,02;Boleto;Marketplace;918,59;694,04;224,55;0,2445
100068;2026-03-20;C1484;17;2;2;680,1;0,1;408,06;Cartão de débito;Marketplace;1224,18;816,12;408,06;0,3333
100069;2026-04-22;C1785;8;5;3;210,34;0,0;115,69;Cartão de crédito;Marketplace;631,02;347,07;283,95;0,45
100070;2025-09-07;C1904;3;17;2;73,46;0,0;33,06;PIX;Online;146,92;66,12;80,8;0,55
100071;2025-08-06;C1454;8;21;2;154,87;0,15;85,18;PIX;Online;263,28;170,36;92,92;0,3529
100072;2025-07-15;C0351;6;5;1;131,29;0,05;65,64;Boleto;Marketplace;124,73;65,64;59,09;0,4737
100073;2025-01-18;C0382;3;14;1;52,35;0,0;23,56;PIX;Marketplace;52,35;23,56;28,79;0,55
100074;2025-12-19;C1743;6;25;5;160,08;0,05;80,04;PIX;Marketplace;760,38;400,2;360,18;0,4737
100075;2025-08-25;C0495;2;4;2;644,43;0,1;431,77;Cartão de débito;Online;1159,97;863,54;296,43;0,2555
100076;2026-05-11;C1133;5;6;2;1176,61;0,05;764,8;Cartão de crédito;Online;2235,56;1529,6;705,96;0,3158
100077;2025-08-21;C1479;9;16;1;126,79;0,05;79,88;Cartão de crédito;Online;120,45;79,88;40,57;0,3368
100078;2025-05-10;C2011;9;17;1;125,89;0,0;79,31;Boleto;Marketplace;125,89;79,31;46,58;0,37
100079;2025-02-22;C1035;7;20;4;508,3;0,1;315,15;Boleto;Online;1829,88;1260,6;569,28;0,3111
100080;2025-06-05;C0612;12;5;3;2408,43;0,0;1637,73;Cartão de crédito;Marketplace;7225,29;4913,19;2312,1;0,32
100081;2026-06-20;C1559;1;2;1;609,9;0,15;390,34;PIX;Online;518,42;390,34;128,08;0,2471
100082;2025-08-01;C0865;17;13;1;156,83;0,0;94,1;Cartão de crédito;Online;156,83;94,1;62,73;0,4
100083;2026-02-23;C1846;14;6;2;4144,69;0,0;2984,18;PIX;Marketplace;8289,38;5968,36;2321,02;0,28
100084;2025-08-28;C1084;15;23;2;3500,23;0,1;2730,18;Boleto;Online;6300,41;5460,36;840,05;0,1333
100085;2025-06-02;C1089;1;6;3;349,99;0,0;223,99;PIX;Marketplace;1049,97;671,97;378,0;0,36
100086;2026-04-25;C1246;17;17;2;759,87;0,05;455,92;Boleto;Online;1443,75;911,84;531,91;0,3684
100087;2026-03-19;C1321;12;14;2;746,56;0,0;507,66;Cartão de crédito;Marketplace;1493,12;1015,32;477,8;0,32
100088;2025-06-29;C1928;12;12;1;1496,01;0,0;1017,29;Boleto;Marketplace;1496,01;1017,29;478,72;0,32
100089;2026-04-27;C1426;15;24;1;2284,23;0,0;1781,7;PIX;Marketplace;2284,23;1781,7;502,53;0,22
100090;2025-10-23;C1641;8;10;3;201,02;0,05;110,56;PIX;Marketplace;572,91;331,68;241,23;0,4211
100091;2026-02-18;C2108;17;25;3;100,81;0,15;60,49;Boleto;Online;257,07;181,47;75,6;0,2941
100092;2026-06-15;C1482;5;11;2;698,49;0,05;454,02;Cartão de débito;Marketplace;1327,13;908,04;419,09;0,3158
100093;2025-10-22;C1795;13;3;3;283,58;0,0;164,48;Cartão de débito;Online;850,74;493,44;357,3;0,42
100094;2025-01-15;C2263;9;8;1;227,86;0,1;143,55;Boleto;Online;205,07;143,55;61,52;0,3
100095;2026-05-26;C1196;13;17;1;194,84;0,1;113,01;Cartão de débito;Marketplace;175,36;113,01;62,35;0,3556
100096;2026-01-28;C0781;13;19;4;293,46;0,15;170,21;PIX;Marketplace;997,76;680,84;316,92;0,3176
100097;2026-06-04;C1095;4;12;3;1065,68;0,0;745,98;Boleto;Online;3197,04;2237,94;959,1;0,3
100098;2026-05-11;C1414;3;10;1;81,03;0,05;36,46;Cartão de débito;Online;76,98;36,46;40,52;0,5264
100099;2025-08-28;C1683;16;22;1;472,35;0,1;259,79;Boleto;Marketplace;425,12;259,79;165,33;0,3889
100100;2026-05-23;C0152;13;8;1;485,45;0,0;281,56;Boleto;Online;485,45;281,56;203,89;0,42
100101;2026-04-13;C0063;6;18;2;132,0;0,1;66,0;Cartão de crédito;Marketplace;237,6;132,0;105,6;0,4444
100102;2025-12-13;C1629;2;13;2;1314,71;0,15;880,86;Boleto;Marketplace;2235,01;1761,72;473,29;0,2118
100103;2025-02-06;C0281;8;5;1;230,57;0,0;126,81;Cartão de crédito;Marketplace;230,57;126,81;103,76;0,45
100104;2025-04-13;C1818;17;10;1;309,63;0,0;185,78;Cartão de crédito;Marketplace;309,63;185,78;123,85;0,4
100105;2026-01-19;C1765;11;22;1;1249,87;0,05;849,91;Cartão de débito;Online;1187,38;849,91;337,47;0,2842
100106;2025-03-22;C2497;7;12;3;614,78;0,0;381,16;Cartão de débito;Online;1844,34;1143,48;700,86;0,38
100107;2025-09-18;C1883;3;6;1;20,75;0,1;9,34;Cartão de débito;Online;18,68;9,34;9,34;0,5
100108;2025-12-20;C2407;3;25;1;96,96;0,1;43,63;PIX;Online;87,26;43,63;43,63;0,5
100109;2026-05-10;C0437;16;21;1;385,96;0,05;212,28;PIX;Online;366,66;212,28;154,38;0,421
100110;2025-10-09;C0034;16;11;2;442,9;0,1;243,59;Boleto;Marketplace;797,22;487,18;310,04;0,3889
100111;2025-12-27;C0898;1;1;2;734,62;0,1;470,16;Cartão de débito;Online;1322,32;940,32;382,0;0,2889
100112;2025-11-13;C1806;12;6;1;1356,75;0,0;922,59;PIX;Marketplace;1356,75;922,59;434,16;0,32
100113;2025-07-25;C0542;7;9;2;807,35;0,05;500,56;PIX;Online;1533,96;1001,12;532,84;0,3474
100114;2026-05-09;C1209;2;19;2;673,39;0,0;451,17;Cartão de débito;Online;1346,78;902,34;444,44;0,33
100115;2026-01-10;C0370;16;25;2;106,96;0,05;58,83;PIX;Marketplace;203,22;117,66;85,56;0,421
100116;2026-01-16;C0444;16;13;2;335,74;0,1;184,66;PIX;Online;604,33;369,32;235,01;0,3889
100117;2026-04-21;C1238;15;11;2;1466,7;0,0;1144,03;PIX;Marketplace;2933,4;2288,06;645,34;0,22
100118;2025-04-10;C0962;17;14;3;194,96;0,05;116,98;Boleto;Online;555,64;350,94;204,7;0,3684
100119;2025-04-12;C2005;10;21;2;380,5;0,0;197,86;PIX;Online;761,0;395,72;365,28;0,48
100120;2026-04-01;C0968;3;13;3;27,95;0,1;12,58;PIX;Online;75,46;37,74;37,72;0,4999
100121;2025-10-10;C0778;16;19;4;574,51;0,1;315,98;Não informado;Online;2068,24;1263,92;804,32;0,3889
100122;2025-12-08;C0998;12;27;5;2116,56;0,0;1439,26;Cartão de débito;Online;10582,8;7196,3;3386,5;0,32
