produto,pedidos,unidades,faturamento,lucro,margem
Notebook,612,1110,4387769.51,1021971.33,0.23291363132700196
Smartphone,571,1026,2928860.39,486461.15,0.16609229707941114
Monitor,604,1103,1657388.43,452426.84,0.27297574413500647
Cadeira,560,1041,1479026.5,378693.26,0.2560422412985839
Mesa,580,1009,1151314.3,316692.77,0.2750706475199691
Aspirador,604,1018,867309.19,247996.42,0.2859377288507689
Cafeteira,578,1022,663017.57,205462.61,0.3098901436352584
Air Fryer,565,1021,635959.29,204151.39,0.3210132994519193
Headset,592,1028,498777.13,168851.68,0.338531319589573
Teclado,568,998,417192.51,149535.44,0.3584327053234968
Suporte para Monitor,588,1074,352611.77,146071.6,0.4142561662079516
Liquidificador,565,981,336633.51,111259.34,0.3305058370451593
Mouse,588,1019,276711.16,105453.5,0.38109594134186714
Luminária,637,1117,244369.49,108878.11,0.4455470689078248
Hub USB,607,1049,191187.43,78835.92,0.4123488662408402
Carregador,567,1024,145568.93,68226.42,0.4686880641356641
Cabo USB,614,1067,59004.24,30796.57,0.5219382539288702
