ano,mes,pedidos,faturamento,lucro
2025,1,587,833398.65,231729.85
2025,2,519,858480.65,225828.3
2025,3,531,862846.37,216876.93
2025,4,555,972563.37,245836.63
2025,5,537,897298.51,236687.49
2025,6,569,949248.7,255427.12
2025,7,584,1065819.09,273062.34
2025,8,570,855052.46,223239.48
2025,9,552,863986.16,227925.69
2025,10,544,831288.7,221090.76
2025,11,513,830912.37,211558.94
2025,12,560,979460.9400000001,257688.68
2026,1,576,923002.08,248277.38
2026,2,505,813045.98,214012.88
2026,3,573,954434.02,252781.59
2026,4,585,831344.9,219159.97
2026,5,600,1000575.39,264060.47
2026,6,540,969943.01,256519.85
