id_pedido,data_pedido,id_cliente,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,estado,regiao,forma_pagamento,canal,faturamento,custo_total,lucro,margem_lucro,ano,mes,nome_mes
100001,2025-01-26,C1127,Teclado,Eletrônicos,1,197.68,0.0,118.61,AC,Norte,Cartão de crédito,Marketplace,197.68,118.61,79.07,0.4,2025,1,January
100002,2025-01-31,C0384,Monitor,Eletrônicos,1,1609.64,0.0,1094.56,RS,Sul,Boleto,Online,1609.64,1094.56,515.08,0.32,2025,1,January
100003,2025-10-12,C0027,Cabo USB,Acessórios,2,32.77,0.05,14.75,PE,Nordeste,Cartão de débito,Online,62.26,29.5,32.76,0.5262,2025,10,October
100004,2025-04-15,C0380,Cadeira,Escritório,1,1217.96,0.0,852.57,PE,Nordeste,Cartão de crédito,Marketplace,1217.96,852.57,365.39,0.3,2025,4,April
100005,2026-01-23,C0323,Teclado,Eletrônicos,2,680.58,0.1,408.35,PB,Nordeste,Cartão de débito,Online,1225.04,816.7,408.34,0.3333,2026,1,January
100006,2025-08-22,C1186,Monitor,Eletrônicos,5,2239.57,0.15,1522.91,RN,Nordeste,PIX,Marketplace,9518.17,7614.55,1903.62,0.2,2025,8,August
100007,2025-06-16,C1517,Mesa,Escritório,1,1472.28,0.1,1001.15,PA,Norte,Cartão de crédito,Online,1325.05,1001.15,323.9,0.2444,2025,6,June
100008,2025-06-17,C1894,Air Fryer,Casa,1,992.67,0.1,635.31,MT,Centro-Oeste,Cartão de débito,Marketplace,893.4,635.31,258.09,0.2889,2025,6,June
100009,2025-08-23,C0132,Monitor,Eletrônicos,3,1422.1,0.0,967.03,MS,Centro-Oeste,PIX,Online,4266.3,2901.09,1365.21,0.32,2025,8,August
100010,2026-02-10,C1880,Hub USB,Acessórios,1,110.72,0.1,60.9,MT,Centro-Oeste,PIX,Marketplace,99.65,60.9,38.75,0.3889,2026,2,February
100011,2026-01-06,C0899,Suporte para Monitor,Escritório,5,169.17,0.05,93.04,AP,Norte,Cartão de crédito,Online,803.56,465.2,338.36,0.4211,2026,1,January
100012,2025-06-13,C1730,Mouse,Eletrônicos,2,241.6,0.05,140.13,SE,Nordeste,PIX,Online,459.04,280.26,178.78,0.3895,2025,6,June
100013,2025-10-01,C1394,Teclado,Eletrônicos,1,404.34,0.05,242.6,AC,Norte,PIX,Online,384.12,242.6,141.52,0.3684,2025,10,October
100014,2025-04-19,C1223,Carregador,Acessórios,3,151.53,0.0,75.77,PB,Nordeste,Cartão de débito,Online,454.59,227.31,227.28,0.5,2025,4,April
100015,2026-05-16,C0080,Cadeira,Escritório,1,1225.96,0.2,858.17,RR,Norte,PIX,Online,980.77,858.17,122.6,0.125,2026,5,May
100016,2025-09-04,C2324,Monitor,Eletrônicos,4,854.18,0.05,580.84,RJ,Sudeste,Cartão de débito,Online,3245.88,2323.36,922.52,0.2842,2025,9,September
