id_pedido,data_pedido,id_cliente,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,estado,regiao,forma_pagamento,canal
100001,2025-01-26,C1127,Teclado,Eletrônicos,1,197.68,0,118.61,AC,Norte,Cartão de crédito,Marketplace
100002,2025-01-31,C0384,Monitor,Eletrônicos,1,1609.64,0,1094.56,RS,Sul,Boleto,Online
100003,2025-10-12,C0027,Cabo USB,Acessórios,2,32.77,0.05,14.75,PE,Nordeste,Cartão de débito,Online
100004,2025-04-15,C0380,Cadeira,Escritório,1,1217.96,0,852.57,PE,Nordeste,Cartão de crédito,Marketplace
100005,2026-01-23,C0323,Teclado,Eletrônicos,2,680.58,0.1,408.35,PB,Nordeste,Cartão de débito,Online
100006,2025-08-22,C1186,Monitor,Eletrônicos,5,2239.57,0.15,1522.91,RN,Nordeste,PIX,Marketplace
100007,2025-06-16,C1517,Mesa,Escritório,1,1472.28,0.1,1001.15,PA,Norte,Cartão de crédito,Online
100008,2025-06-17,C1894,Air Fryer,Casa,1,992.67,0.1,635.31,MT,Centro-Oeste,Cartão de débito,Marketplace
100009,2025-08-23,C0132,Monitor,Eletrônicos,3,1422.1,0,967.03,MS,Centro-Oeste,PIX,Online
100010,2026-02-10,C1880,Hub USB,Acessórios,1,110.72,0.1,60.9,MT,Centro-Oeste,PIX,Marketplace
100011,2026-01-06,C0899,Suporte para Monitor,Escritório,5,169.17,0.05,93.04,AP,Norte,Cartão de crédito,Online
100012,2025-06-13,C1730,Mouse,Eletrônicos,2,241.6,0.05,140.13,SE,Nordeste,PIX,Online
100013,2025-10-01,C1394,Teclado,Eletrônicos,1,404.34,0.05,242.6,AC,Norte,PIX,Online
100014,2025-04-19,C1223,Carregador,Acessórios,3,151.53,0,75.77,PB,Nordeste,Cartão de débito,Online
100015,2026-05-16,C0080,Cadeira,Escritório,1,1225.96,0.2,858.17,RR,Norte,PIX,Online
100016,2025-09-04,C2324,Monitor,Eletrônicos,4,854.18,0.05,580.84,RJ,Sudeste,Cartão de débito,Online
100017,2025-06-19,C1086,Hub USB,Acessórios,1,213.45,0.2,117.4,MT,Centro-Oeste,Cartão de débito,Marketplace
100018,2026-01-18,C1795,Suporte para Monitor,Escritório,3,325.74,0,179.16,RJ,Sudeste,PIX,Online
100019,2025-08-14,C0030,Air Fryer,Casa,1,741.77,0,474.73,MG,Sudeste,PIX,Online
100020,2025-09-01,C1141,Carregador,Acessórios,2,92.85,0,46.42,MS,Centro-Oeste,Boleto,Online
100021,2026-02-21,C0780,Hub USB,Acessórios,1,224.98,0.05,123.74,AL,Nordeste,Boleto,Online
100022,2025-03-04,C1650,Teclado,Eletrônicos,2,660.41,0,396.25,RS,Sul,Cartão de débito,Marketplace
100023,2026-03-09,C0752,Mouse,Eletrônicos,1,184.92,0.15,107.25,SE,Nordeste,Cartão de crédito,Online
100024,2025-04-06,C0969,Notebook,Eletrônicos,1,4199.74,0,3023.81,RN,Nordeste,Cartão de crédito,Online
100025,2025-01-03,C1600,Suporte para Monitor,Escritório,1,492.04,0.05,270.62,AL,Nordeste,Boleto,Online
100026,2025-10-31,C0892,Cafeteira,Casa,4,779.18,0.05,506.47,AC,Norte,PIX,Online
100027,2026-05-04,C2060,Monitor,Eletrônicos,3,1656.03,0,1126.1,GO,Centro-Oeste,Cartão de crédito,Online
100028,2025-03-11,C0964,Smartphone,Eletrônicos,1,4766.38,0.05,3717.78,MS,Centro-Oeste,Cartão de crédito,Online
100029,2026-06-20,C1296,Luminária,Escritório,4,145.36,0.1,75.59,BA,Nordeste,PIX,Marketplace
100030,2025-11-04,C1873,Mouse,Eletrônicos,1,395.78,0,229.55,SE,Nordeste,Cartão de crédito,Online
100031,2026-06-03,C1087,Cafeteira,Casa,1,549.01,0,356.86,BA,Nordeste,PIX,Marketplace
100032,2026-03-25,C2226,Headset,Eletrônicos,2,608.76,0.2,377.43,AM,Norte,Cartão de crédito,Marketplace
100033,2025-05-18,C1084,Teclado,Eletrônicos,1,174.93,0.05,104.96,PE,Nordeste,PIX,Online
100034,2025-07-28,C1082,Cadeira,Escritório,1,1002.24,0.15,701.57,MG,Sudeste,Cartão de crédito,Marketplace
100035,2025-02-15,C0015,Aspirador,Casa,1,413.52,0.2,277.06,SC,Sul,Boleto,Marketplace
100036,2025-04-25,C0309,Notebook,Eletrônicos,4,4918.57,0,3541.37,MG,Sudeste,PIX,Online
100037,2025-05-11,C0172,Luminária,Escritório,1,367.67,0.1,191.19,MG,Sudeste,PIX,Online
100038,2025-04-16,C1449,Air Fryer,Casa,2,918.89,0.05,588.09,DF,Centro-Oeste,Cartão de débito,Online
100039,2025-07-01,C1689,Headset,Eletrônicos,1,702.42,0,435.5,AL,Nordeste,Cartão de débito,Marketplace
100040,2025-04-21,C1567,Headset,Eletrônicos,3,793.94,0,492.24,TO,Norte,Boleto,Marketplace
100041,2025-08-22,C0914,Liquidificador,Casa,1,212.7,0,134.0,RJ,Sudeste,PIX,Marketplace
100042,2026-02-14,C2197,Carregador,Acessórios,1,55.52,0.15,27.76,PE,Nordeste,Cartão de débito,Marketplace
100043,2025-04-22,C2444,Monitor,Eletrônicos,1,2011.38,0,1367.74,DF,Centro-Oeste,Cartão de crédito,Marketplace
100044,2025-09-18,C0182,Cafeteira,Casa,2,201.69,0.15,131.1,MT,Centro-Oeste,Cartão de débito,Marketplace
100045,2025-03-13,C1353,Luminária,Escritório,2,292.28,0,151.99,CE,Nordeste,PIX,Marketplace
100046,2026-02-17,C1212,Cadeira,Escritório,2,883.68,0.1,618.58,RN,Nordeste,Cartão de débito,Marketplace
100047,2025-01-01,C1245,Suporte para Monitor,Escritório,1,314.94,0.05,173.22,AM,Norte,PIX,Marketplace
100048,2026-03-29,C0876,Cabo USB,Acessórios,1,83.5,0.2,37.58,AC,Norte,Cartão de débito,Online
100049,2026-06-12,C1373,Liquidificador,Casa,1,576.96,0,363.48,CE,Nordeste,Cartão de débito,Online
100050,2025-01-26,C0190,Mouse,Eletrônicos,1,279.56,0.1,162.14,RJ,Sudeste,Boleto,Marketplace
100051,2026-01-29,C2025,Cafeteira,Casa,1,347.57,0.1,225.92,AP,Norte,Cartão de crédito,Marketplace
100052,2025-06-30,C2122,Air Fryer,Casa,1,690.18,0.15,441.72,ES,Sudeste,Boleto,Online
100053,2026-06-28,C2290,Cabo USB,Acessórios,2,96.0,0.15,43.2,DF,Centro-Oeste,Boleto,Marketplace
100054,2026-05-02,C1844,Headset,Eletrônicos,1,335.43,0.1,207.97,AP,Norte,Boleto,Online
100055,2026-03-27,C0318,Aspirador,Casa,2,543.12,0,363.89,MT,Centro-Oeste,Cartão de crédito,Online
100056,2025-08-25,C1569,Mouse,Eletrônicos,2,376.7,0,218.49,AL,Nordeste,PIX,Marketplace
100057,2025-03-05,C0848,Luminária,Escritório,3,204.63,0.1,106.41,RO,Norte,Cartão de crédito,Marketplace
100058,2025-01-07,C1441,Hub USB,Acessórios,1,165.8,0.15,91.19,TO,Norte,Boleto,Online
100059,2025-08-13,C1118,Hub USB,Acessórios,1,86.39,0,47.51,PA,Norte,Boleto,Online
100060,2025-05-11,C2188,Cabo USB,Acessórios,1,51.52,0.05,23.18,SP,Sudeste,Cartão de crédito,Marketplace
100061,2026-04-18,C0745,Mouse,Eletrônicos,1,239.22,0,138.75,MA,Nordeste,PIX,Marketplace
100062,2026-03-08,C1034,Aspirador,Casa,3,837.88,0.1,561.38,MG,Sudeste,PIX,Online
100063,2025-02-11,C0128,Smartphone,Eletrônicos,4,1797.44,0,1402.0,PR,Sul,Cartão de débito,Online
100064,2025-04-28,C2311,Hub USB,Acessórios,4,182.31,0,100.27,PB,Nordeste,Cartão de débito,Online
